,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
10,10.0,data10,Access to services,E06000001,Hartlepool,102.0629,102.344,102.28,102.2741,101.9366,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.12630000000000052,-0.3375000000000057
24,10.0,data10,Access to services,E06000002,Middlesbrough,103.1776,102.7074,102.5309,102.5962,101.3229,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.854699999999994,-1.2732999999999919
38,10.0,data10,Access to services,E06000003,Redcar and Cleveland,98.70464,98.10506,98.24154,98.23986,98.17604,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.5285999999999973,-0.06381999999999266
52,10.0,data10,Access to services,E06000004,Stockton-on-Tees,95.68822,95.77532,95.75785,95.75785,95.18192,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.506299999999996,-0.5759299999999996
66,10.0,data10,Access to services,E06000005,Darlington,95.58267,95.87383,95.91509,96.05662,95.7249,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,0.14223000000001207,-0.33171999999999
80,10.0,data10,Access to services,E06000006,Halton,100.991,101.4622,102.009,102.009,100.9932,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.002200000000001978,-1.0157999999999987
94,10.0,data10,Access to services,E06000007,Warrington,100.8392,100.8405,100.8464,100.7846,101.0439,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.20469999999998834,0.2592999999999961
108,10.0,data10,Access to services,E06000008,Blackburn with Darwen,107.9084,108.0965,107.8062,107.7044,107.3889,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.5194999999999936,-0.3155000000000001
122,10.0,data10,Access to services,E06000009,Blackpool,112.7304,112.815,112.3845,112.343,112.2401,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.49030000000000484,-0.10290000000000532
136,10.0,data10,Access to services,E06000010,Kingston upon Hull,100.4203,100.3195,100.2479,100.1491,107.5596,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,7.139300000000006,7.410499999999999
150,10.0,data10,Access to services,E06000011,East Riding of Yorkshire,90.60214,90.32573,90.13946,90.06975,91.88604,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,1.2838999999999885,1.816289999999995
164,10.0,data10,Access to services,E06000012,North East Lincolnshire,103.1027,103.0011,102.5893,102.6057,102.0694,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-1.033299999999997,-0.5362999999999971
178,10.0,data10,Access to services,E06000013,North Lincolnshire,93.96787,93.82634,93.70408,93.87943,93.89541,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.07246000000000663,0.015979999999998995
192,10.0,data10,Access to services,E06000014,York,102.8174,102.43,102.3483,101.7684,102.3965,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.42090000000000316,0.6281000000000034
