,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
5,5.0,data5,Behavioural risk factors,E06000001,Hartlepool,90.6707,91.63684,88.09747,85.40191,84.43702,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-6.233679999999993,-0.9648899999999969
19,5.0,data5,Behavioural risk factors,E06000002,Middlesbrough,87.54216,86.66516,88.58906,88.10399,86.34973,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.1924300000000017,-1.7542600000000022
33,5.0,data5,Behavioural risk factors,E06000003,Redcar and Cleveland,99.52331,97.75373,98.26146,98.4389,98.37836,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.1449499999999944,-0.06054000000000315
47,5.0,data5,Behavioural risk factors,E06000004,Stockton-on-Tees,92.88272,95.07668,95.59087,91.55501,97.55349,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,4.67076999999999,5.998480000000001
61,5.0,data5,Behavioural risk factors,E06000005,Darlington,97.94397,97.71614,94.39651,99.64044,97.48174,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.46222999999999104,-2.158699999999996
75,5.0,data5,Behavioural risk factors,E06000006,Halton,88.37158,91.06635,95.12517,92.53245,88.97717,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.6055900000000065,-3.555279999999996
89,5.0,data5,Behavioural risk factors,E06000007,Warrington,98.99522,101.7192,100.0951,95.8734,95.97831,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.01691000000001,0.10490999999998962
103,5.0,data5,Behavioural risk factors,E06000008,Blackburn with Darwen,87.75951,89.27654,91.77424,87.34813,86.91177,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.8477400000000017,-0.4363599999999934
117,5.0,data5,Behavioural risk factors,E06000009,Blackpool,84.68259,84.63913,84.01575,84.02838,86.22542,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.542829999999995,2.197040000000001
131,5.0,data5,Behavioural risk factors,E06000010,Kingston upon Hull,87.82815,85.34803,86.56742,84.39186,87.38315,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.4449999999999932,2.9912900000000064
145,5.0,data5,Behavioural risk factors,E06000011,East Riding of Yorkshire,105.4646,107.3589,102.2455,99.40453,105.0438,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.42079999999999984,5.63927000000001
159,5.0,data5,Behavioural risk factors,E06000012,North East Lincolnshire,91.45556,93.98116,94.92526,87.58771,90.74228,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.7132800000000117,3.1545699999999925
173,5.0,data5,Behavioural risk factors,E06000013,North Lincolnshire,97.40414,96.80653,95.48461,95.73347,95.64805,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-1.7560900000000004,-0.08541999999999916
187,5.0,data5,Behavioural risk factors,E06000014,York,103.5392,106.482,111.1432,109.9475,109.6501,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,6.110900000000001,-0.2974000000000103
201,5.0,data5,Behavioural risk factors,E06000015,Derby,99.51938,98.00285,98.47172,92.98568,95.00119,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-4.518190000000004,2.015509999999992
215,5.0,data5,Behavioural risk factors,E06000016,Leicester,87.00197,90.00919,92.86766,89.73301,89.24276,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,2.240790000000004,-0.490249999999989
229,5.0,data5,Behavioural risk factors,E06000017,Rutland,113.2385,112.332,111.5945,112.8426,112.141,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-1.0974999999999966,-0.7015999999999991
243,5.0,data5,Behavioural risk factors,E06000018,Nottingham,90.19393,92.41199,94.53308,94.99472,90.03954,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.15438999999999226,-4.955179999999999
