,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
7,7.0,data7,Children and young people,E06000001,Hartlepool,93.66764,93.3172,95.23333,91.71033,94.7678,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.1001599999999883,3.057469999999995
21,7.0,data7,Children and young people,E06000002,Middlesbrough,78.94674,83.86458,85.08832,87.23139,84.10863,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,5.16189,-3.1227599999999995
35,7.0,data7,Children and young people,E06000003,Redcar and Cleveland,90.99301,94.99572,95.68429,94.40881,96.94601,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,5.953000000000003,2.5371999999999986
49,7.0,data7,Children and young people,E06000004,Stockton-on-Tees,93.50986,97.00755,96.60362,98.60503,102.0668,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,8.556939999999997,3.4617700000000013
63,7.0,data7,Children and young people,E06000005,Darlington,93.33237,97.89844,97.31915,99.77941,102.7606,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,9.42823,2.981189999999998
77,7.0,data7,Children and young people,E06000006,Halton,92.97987,97.37545,91.119,93.05607,95.07926,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,2.0993899999999996,2.0231899999999996
91,7.0,data7,Children and young people,E06000007,Warrington,103.3237,108.0929,108.4168,107.5547,111.1004,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,7.776699999999991,3.5456999999999965
105,7.0,data7,Children and young people,E06000008,Blackburn with Darwen,92.63938,98.67954,102.7215,99.91166,102.7411,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,10.10172,2.8294400000000053
119,7.0,data7,Children and young people,E06000009,Blackpool,80.90623,86.01911,89.06963,85.70256,87.52842,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,6.622190000000003,1.8258599999999916
133,7.0,data7,Children and young people,E06000010,Kingston upon Hull,83.37549,89.60915,87.10334,89.35245,93.61907,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,10.243579999999994,4.266619999999989
