,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
11,11.0,data11,Crime,E06000001,Hartlepool,85.72527,84.20004,79.71742,76.56755,79.68086,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-6.044409999999999,3.1133099999999985
25,11.0,data11,Crime,E06000002,Middlesbrough,80.49032,80.00565,76.05202,73.76548,75.8677,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-4.622619999999998,2.1022200000000026
39,11.0,data11,Crime,E06000003,Redcar and Cleveland,91.06022,89.76182,88.62025,89.43132,87.6069,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-3.453320000000005,-1.8244200000000035
53,11.0,data11,Crime,E06000004,Stockton-on-Tees,92.2703,90.54501,87.3336,83.70253,88.39514,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-3.875160000000008,4.692610000000002
67,11.0,data11,Crime,E06000005,Darlington,91.14283,87.77578,84.87866,87.59608,86.47002,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-4.672809999999998,-1.1260599999999954
81,11.0,data11,Crime,E06000006,Halton,97.97678,94.77558,90.52751,90.95652,92.76899,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.207790000000003,1.8124700000000047
95,11.0,data11,Crime,E06000007,Warrington,99.43212,97.67337,93.73802,93.10685,92.38267,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-7.049449999999993,-0.7241799999999898
109,11.0,data11,Crime,E06000008,Blackburn with Darwen,95.61629,94.30597,92.20291,89.39411,89.97753,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.638760000000005,0.5834200000000038
123,11.0,data11,Crime,E06000009,Blackpool,83.45785,81.81389,78.13655,75.42771,78.36446,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.093389999999999,2.9367499999999893
137,11.0,data11,Crime,E06000010,Kingston upon Hull,81.18321,78.81428,76.07552,73.06984,75.99713,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-5.186080000000004,2.9272899999999993
151,11.0,data11,Crime,E06000011,East Riding of Yorkshire,109.5143,106.7424,102.0831,99.9916,101.4965,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-8.017800000000008,1.5048999999999921
165,11.0,data11,Crime,E06000012,North East Lincolnshire,83.25922,84.16283,81.2818,79.20911,81.31701,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-1.9422100000000029,2.1079000000000008
179,11.0,data11,Crime,E06000013,North Lincolnshire,99.97038,96.04243,91.78387,88.24781,89.26026,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-10.710120000000003,1.0124500000000012
193,11.0,data11,Crime,E06000014,York,94.07588,95.78985,94.1695,93.34533,93.56109,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.514790000000005,0.21575999999998885
207,11.0,data11,Crime,E06000015,Derby,89.50667,88.49426,89.74707,89.87866,87.36635,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-2.1403200000000027,-2.5123099999999994
221,11.0,data11,Crime,E06000016,Leicester,89.05412,87.58826,85.30398,84.36275,88.91929,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.1348299999999938,4.556539999999998
235,11.0,data11,Crime,E06000017,Rutland,125.001,125.9837,123.5758,121.5521,120.2198,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-4.781199999999998,-1.3322999999999894
249,11.0,data11,Crime,E06000018,Nottingham,85.81766,84.47105,81.95469,79.66221,82.08669,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-3.7309699999999992,2.4244800000000026
263,11.0,data11,Crime,E06000019,Herefordshire,105.6874,106.5811,105.6391,104.7814,104.7773,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-0.9100999999999999,-0.004100000000008208
277,11.0,data11,Crime,E06000020,Telford and Wrekin,94.28956,91.72289,91.70956,92.69613,91.42532,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-2.8642399999999952,-1.2708099999999973
291,11.0,data11,Crime,E06000021,Stoke-on-Trent,88.6277,86.01326,84.26067,83.00219,85.09819,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-3.529510000000002,2.0960000000000036
305,11.0,data11,Crime,E06000022,Bath and North East Somerset,100.7974,99.96583,99.76504,101.0698,99.87214,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.9252599999999944,-1.197659999999999
319,11.0,data11,Crime,E06000023,Bristol,83.93415,82.71786,83.19441,85.19683,86.71127,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,2.7771199999999965,1.5144399999999933
333,11.0,data11,Crime,E06000024,North Somerset,99.77767,95.55845,100.3879,98.90211,97.90319,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.8744800000000055,-0.9989199999999983
347,11.0,data11,Crime,E06000025,South Gloucestershire,102.3997,100.3471,99.83462,100.6785,101.3721,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.0275999999999925,0.6936000000000035
361,11.0,data11,Crime,E06000026,Plymouth,98.83187,97.5313,94.26,94.61749,95.93757,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-2.894300000000001,1.3200799999999902
375,11.0,data11,Crime,E06000027,Torbay,100.283,101.4322,95.16761,95.55584,98.60472,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.6782800000000009,3.048879999999997
389,11.0,data11,Crime,E06000030,Swindon,89.92931,88.46183,89.00709,90.28774,91.3372,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.4078899999999948,1.0494599999999963
403,11.0,data11,Crime,E06000031,Peterborough,88.25954,84.387,81.82311,83.77253,87.28674,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-0.9728000000000065,3.5142099999999914
417,11.0,data11,Crime,E06000032,Luton,95.15636,92.74116,92.49134,91.8932,92.36681,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-2.7895500000000055,0.47361000000000786
431,11.0,data11,Crime,E06000033,Southend-on-Sea,93.21482,91.68815,93.73486,88.78974,91.25671,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-1.958110000000005,2.4669700000000034
445,11.0,data11,Crime,E06000034,Thurrock,92.84023,92.46263,90.29308,87.68734,88.35854,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-4.48169,0.6711999999999989
459,11.0,data11,Crime,E06000035,Medway,95.02796,93.32809,87.87625,88.03693,87.74249,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-7.2854699999999895,-0.2944399999999945
473,11.0,data11,Crime,E06000036,Bracknell Forest,107.237,104.5679,106.7219,101.378,100.3468,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.890199999999993,-1.0311999999999983
487,11.0,data11,Crime,E06000037,West Berkshire,104.6076,102.411,101.2423,99.94503,101.459,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.148600000000002,1.5139700000000005
