,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
0,0.0,data0,Difficulties in daily life,E06000001,Hartlepool,82.79934,86.19837,78.85181,91.32202,78.74538,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-4.053960000000004,-12.576639999999998
14,0.0,data0,Difficulties in daily life,E06000002,Middlesbrough,91.99191,90.97505,88.37319,82.08016,79.29354,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-12.698370000000011,-2.7866200000000134
28,0.0,data0,Difficulties in daily life,E06000003,Redcar and Cleveland,95.22671,100.7719,98.05703,90.33803,90.03519,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-5.191519999999997,-0.30284000000000333
42,0.0,data0,Difficulties in daily life,E06000004,Stockton-on-Tees,94.2535,96.17603,93.4107,91.65594,95.50197,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.2484699999999975,3.846029999999999
56,0.0,data0,Difficulties in daily life,E06000005,Darlington,96.59418,90.99461,89.6416,90.93386,88.54493,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-8.04925,-2.388930000000002
70,0.0,data0,Difficulties in daily life,E06000006,Halton,93.67982,80.28957,87.34811,89.73264,89.65123,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-4.028590000000008,-0.08141000000000531
84,0.0,data0,Difficulties in daily life,E06000007,Warrington,93.54722,93.68557,98.08327,97.72897,94.26052,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.7133000000000038,-3.4684500000000043
98,0.0,data0,Difficulties in daily life,E06000008,Blackburn with Darwen,96.49382,88.77094,94.32856,93.63286,86.30878,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-10.18504,-7.324079999999995
112,0.0,data0,Difficulties in daily life,E06000009,Blackpool,86.80997,90.39668,79.29762,72.79717,74.2876,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-12.52237000000001,1.4904300000000035
126,0.0,data0,Difficulties in daily life,E06000010,Kingston upon Hull,79.53032,83.78703,83.33493,81.30576,84.72037,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,5.190049999999999,3.414609999999996
140,0.0,data0,Difficulties in daily life,E06000011,East Riding of Yorkshire,98.4628,98.75041,99.64529,103.0339,96.34871,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-2.1140900000000045,-6.685190000000006
154,0.0,data0,Difficulties in daily life,E06000012,North East Lincolnshire,94.51942,93.82285,94.25838,86.75482,84.64295,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-9.876469999999998,-2.111869999999996
168,0.0,data0,Difficulties in daily life,E06000013,North Lincolnshire,93.11545,94.85986,98.39314,82.46824,88.68957,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-4.425879999999992,6.221330000000009
182,0.0,data0,Difficulties in daily life,E06000014,York,100.7835,102.8362,103.5161,109.2835,104.7945,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,4.010999999999996,-4.489000000000004
196,0.0,data0,Difficulties in daily life,E06000015,Derby,104.8243,97.67675,99.10548,97.8901,95.76477,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-9.059529999999995,-2.1253300000000053
210,0.0,data0,Difficulties in daily life,E06000016,Leicester,97.50337,80.59573,88.82222,90.14535,77.7945,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-19.708870000000005,-12.350849999999994
224,0.0,data0,Difficulties in daily life,E06000017,Rutland,109.2548,98.72149,95.07781,98.39197,80.55167,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-28.70313,-17.8403
238,0.0,data0,Difficulties in daily life,E06000018,Nottingham,93.45696,95.54854,97.12275,93.74064,95.27554,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.8185800000000114,1.5349000000000075
252,0.0,data0,Difficulties in daily life,E06000019,Herefordshire,104.3597,106.4351,106.0278,98.30238,91.36327,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-12.996430000000004,-6.9391099999999994
266,0.0,data0,Difficulties in daily life,E06000020,Telford and Wrekin,96.18001,88.78952,98.01831,99.06799,92.85722,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-3.3227899999999977,-6.210769999999997
280,0.0,data0,Difficulties in daily life,E06000021,Stoke-on-Trent,87.41491,88.92142,94.85097,85.05751,82.56348,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-4.851430000000008,-2.494029999999995
294,0.0,data0,Difficulties in daily life,E06000022,Bath and North East Somerset,103.3632,107.2512,103.063,103.9401,100.8271,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-2.5361000000000047,-3.1129999999999995
308,0.0,data0,Difficulties in daily life,E06000023,Bristol,93.664,93.38229,97.53213,101.136,90.99613,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-2.6678700000000077,-10.139870000000002
322,0.0,data0,Difficulties in daily life,E06000024,North Somerset,105.3046,102.7617,96.65675,95.8732,99.24554,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-6.059059999999988,3.3723400000000083
336,0.0,data0,Difficulties in daily life,E06000025,South Gloucestershire,107.9023,104.4541,101.902,100.2906,98.00555,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-9.896749999999997,-2.2850499999999982
350,0.0,data0,Difficulties in daily life,E06000026,Plymouth,96.92363,94.07538,96.66625,95.69298,89.80854,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-7.115090000000009,-5.884440000000012
364,0.0,data0,Difficulties in daily life,E06000027,Torbay,91.25095,94.35214,93.73404,92.34163,90.86697,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.3839800000000082,-1.47466
378,0.0,data0,Difficulties in daily life,E06000030,Swindon,95.81509,106.5596,99.17241,91.56349,94.50838,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.3067099999999954,2.944890000000001
