,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
13,13.0,data13,Living conditions,E06000001,Hartlepool,105.2681,105.5806,106.0535,106.9591,107.5029,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.234799999999993,0.5437999999999903
27,13.0,data13,Living conditions,E06000002,Middlesbrough,100.2872,101.0535,100.1193,98.77752,99.44846,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.8387400000000014,0.6709400000000016
41,13.0,data13,Living conditions,E06000003,Redcar and Cleveland,109.0318,109.7139,109.7299,109.7357,112.3249,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,3.2930999999999955,2.5892000000000053
55,13.0,data13,Living conditions,E06000004,Stockton-on-Tees,103.8786,103.5991,104.4075,104.0813,103.701,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.17760000000001241,-0.3803000000000054
69,13.0,data13,Living conditions,E06000005,Darlington,107.152,105.6768,106.5048,106.3796,111.0016,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,3.8495999999999952,4.622
83,13.0,data13,Living conditions,E06000006,Halton,104.5824,101.6589,102.9519,102.5775,101.3503,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.2321000000000026,-1.2271999999999963
97,13.0,data13,Living conditions,E06000007,Warrington,104.5628,103.2536,104.9712,102.4561,102.8381,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-1.7246999999999986,0.3819999999999908
111,13.0,data13,Living conditions,E06000008,Blackburn with Darwen,103.8723,102.6049,104.208,100.9222,100.207,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.665300000000002,-0.71520000000001
125,13.0,data13,Living conditions,E06000009,Blackpool,96.03659,99.00065,100.0356,99.69444,99.55269,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,3.5160999999999945,-0.14175000000000182
139,13.0,data13,Living conditions,E06000010,Kingston upon Hull,92.7536,93.09389,93.19104,92.29419,93.51969,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.7660899999999913,1.2254999999999967
153,13.0,data13,Living conditions,E06000011,East Riding of Yorkshire,108.1809,109.9327,111.0346,110.5254,109.6136,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,1.4327000000000112,-0.9117999999999995
167,13.0,data13,Living conditions,E06000012,North East Lincolnshire,100.4942,102.1794,102.0084,101.6235,103.3108,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,2.816599999999994,1.6872999999999934
181,13.0,data13,Living conditions,E06000013,North Lincolnshire,105.6275,105.936,106.5164,105.7068,106.2445,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.6170000000000044,0.537700000000001
195,13.0,data13,Living conditions,E06000014,York,98.77377,98.25759,97.87334,99.26868,99.50807,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.7343000000000046,0.2393900000000002
209,13.0,data13,Living conditions,E06000015,Derby,97.84002,94.85288,95.5572,97.8019,96.90757,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.9324499999999887,-0.8943299999999965
223,13.0,data13,Living conditions,E06000016,Leicester,91.63655,89.45139,91.0177,91.3238,91.73164,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.09508999999999901,0.4078399999999931
