,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
2,2.0,data2,Mortality,E06000001,Hartlepool,87.06176,84.98555,85.91994,88.50988,89.23927,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.177509999999998,0.7293900000000093
16,2.0,data2,Mortality,E06000002,Middlesbrough,80.39994,77.27858,78.78385,78.2618,81.67494,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.2750000000000057,3.4131400000000127
30,2.0,data2,Mortality,E06000003,Redcar and Cleveland,93.55668,92.0289,91.64327,93.13887,92.89554,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.6611400000000032,-0.24333000000000027
44,2.0,data2,Mortality,E06000004,Stockton-on-Tees,92.77189,91.75667,93.32601,93.42582,94.76687,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.9949799999999982,1.3410499999999956
58,2.0,data2,Mortality,E06000005,Darlington,93.37616,94.86024,97.41773,97.28854,96.3209,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.944739999999996,-0.9676400000000029
72,2.0,data2,Mortality,E06000006,Halton,89.93738,90.41174,89.79733,89.82681,91.87522,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.9378399999999942,2.048410000000004
86,2.0,data2,Mortality,E06000007,Warrington,95.10663,96.50686,99.3665,100.4979,99.68285,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,4.576220000000006,-0.8150499999999994
100,2.0,data2,Mortality,E06000008,Blackburn with Darwen,83.09668,81.86777,82.62251,83.99133,84.85164,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.754959999999997,0.8603099999999984
114,2.0,data2,Mortality,E06000009,Blackpool,71.69976,73.05715,71.533,73.18307,73.42938,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.729619999999997,0.24630999999999403
128,2.0,data2,Mortality,E06000010,Kingston upon Hull,82.83002,82.0867,79.58124,80.98558,79.79687,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-3.0331500000000062,-1.1887100000000004
