,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
3,3.0,data3,Personal well-being,E06000001,Hartlepool,94.11678,96.40914,97.60389,98.43759,94.92927,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,0.8124899999999968,-3.5083199999999977
17,3.0,data3,Personal well-being,E06000002,Middlesbrough,102.5889,98.46575,98.10325,101.0427,93.52311,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-9.065789999999993,-7.519589999999994
31,3.0,data3,Personal well-being,E06000003,Redcar and Cleveland,98.4411,98.46507,104.9872,104.3817,101.0823,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.6411999999999978,-3.2993999999999915
45,3.0,data3,Personal well-being,E06000004,Stockton-on-Tees,100.2575,104.0776,106.3895,104.805,98.41003,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.847469999999987,-6.394970000000001
59,3.0,data3,Personal well-being,E06000005,Darlington,102.2998,99.26756,103.4895,103.7746,102.9282,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,0.6283999999999992,-0.8464000000000027
73,3.0,data3,Personal well-being,E06000006,Halton,97.54891,95.11303,99.59193,102.0239,97.78416,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,0.23524999999999352,-4.239739999999998
87,3.0,data3,Personal well-being,E06000007,Warrington,99.59025,107.1954,108.6286,107.3809,105.2882,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,5.697950000000006,-2.0926999999999936
101,3.0,data3,Personal well-being,E06000008,Blackburn with Darwen,97.65729,96.68104,106.5876,108.8889,108.6389,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,10.981610000000003,-0.25
115,3.0,data3,Personal well-being,E06000009,Blackpool,94.35419,90.29126,92.31971,96.48763,93.43181,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-0.922380000000004,-3.055819999999997
129,3.0,data3,Personal well-being,E06000010,Kingston upon Hull,90.39946,94.76003,100.8245,98.49791,92.6136,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,2.2141400000000004,-5.884309999999999
143,3.0,data3,Personal well-being,E06000011,East Riding of Yorkshire,109.126,113.7158,108.988,112.8785,112.2376,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,3.1115999999999957,-0.640900000000002
157,3.0,data3,Personal well-being,E06000012,North East Lincolnshire,102.2696,101.7278,103.8474,103.3125,106.4665,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,4.196899999999999,3.1539999999999964
171,3.0,data3,Personal well-being,E06000013,North Lincolnshire,98.91266,105.3281,103.7005,97.42004,100.7193,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,1.8066400000000016,3.299260000000004
185,3.0,data3,Personal well-being,E06000014,York,101.5988,102.7823,97.27801,97.20106,102.149,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.5502000000000038,4.947940000000003
199,3.0,data3,Personal well-being,E06000015,Derby,93.63333,97.49876,99.65053,107.5593,101.6553,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,8.021969999999996,-5.903999999999996
