,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
4,4.0,data4,Physical health conditions,E06000001,Hartlepool,107.9483,110.5326,111.0331,110.1281,108.8449,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,0.8965999999999923,-1.283200000000008
18,4.0,data4,Physical health conditions,E06000002,Middlesbrough,102.228,104.5798,105.154,103.4681,104.7896,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.5615999999999985,1.3214999999999861
32,4.0,data4,Physical health conditions,E06000003,Redcar and Cleveland,103.6046,104.7636,104.7431,105.7229,104.7619,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.1572999999999922,-0.9609999999999985
46,4.0,data4,Physical health conditions,E06000004,Stockton-on-Tees,99.43332,100.1643,100.2005,100.0674,99.16964,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.2636799999999937,-0.8977600000000052
60,4.0,data4,Physical health conditions,E06000005,Darlington,107.3435,109.3685,110.5975,110.0255,110.1847,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,2.8412000000000006,0.15920000000001266
74,4.0,data4,Physical health conditions,E06000006,Halton,103.1479,104.819,106.121,106.409,105.1754,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,2.027499999999989,-1.2336000000000098
88,4.0,data4,Physical health conditions,E06000007,Warrington,99.06816,100.0287,101.1952,100.527,100.3458,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.277639999999991,-0.18120000000000402
102,4.0,data4,Physical health conditions,E06000008,Blackburn with Darwen,101.5977,105.3502,101.2622,104.7609,103.1774,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,1.5797000000000025,-1.5835000000000008
116,4.0,data4,Physical health conditions,E06000009,Blackpool,97.87673,99.43084,100.7985,101.2414,100.5036,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,2.626870000000011,-0.7377999999999929
130,4.0,data4,Physical health conditions,E06000010,Kingston upon Hull,94.98973,95.55684,95.37166,95.34732,95.69389,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.7041600000000017,0.3465699999999998
144,4.0,data4,Physical health conditions,E06000011,East Riding of Yorkshire,90.95598,91.87594,92.90269,92.16579,91.49242,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,0.5364399999999989,-0.6733700000000056
158,4.0,data4,Physical health conditions,E06000012,North East Lincolnshire,100.5013,101.3407,103.3004,102.8705,104.2249,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,3.7236000000000047,1.3543999999999983
172,4.0,data4,Physical health conditions,E06000013,North Lincolnshire,101.0603,102.4341,102.8719,101.7926,100.8168,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.24349999999999739,-0.9757999999999925
186,4.0,data4,Physical health conditions,E06000014,York,102.4508,104.5735,102.1715,99.75156,100.4503,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-2.0005000000000024,0.6987400000000008
200,4.0,data4,Physical health conditions,E06000015,Derby,94.49159,97.21302,95.15377,95.97808,95.75288,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.2612900000000025,-0.22520000000000095
214,4.0,data4,Physical health conditions,E06000016,Leicester,93.26424,94.24326,92.80026,93.1442,93.29288,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,0.02863999999999578,0.1486799999999988
228,4.0,data4,Physical health conditions,E06000017,Rutland,123.9197,126.8384,126.1841,126.0859,126.3572,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,2.4375,0.27130000000001075
242,4.0,data4,Physical health conditions,E06000018,Nottingham,94.11218,94.83397,94.31633,93.53131,93.59619,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-0.515989999999988,0.06488000000000227
256,4.0,data4,Physical health conditions,E06000019,Herefordshire,102.2767,101.7665,102.5281,101.5357,101.648,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-0.6287000000000091,0.11229999999999052
270,4.0,data4,Physical health conditions,E06000020,Telford and Wrekin,101.7489,102.5981,102.5273,105.2202,103.2671,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,1.518199999999993,-1.9531000000000063
284,4.0,data4,Physical health conditions,E06000021,Stoke-on-Trent,93.58505,93.59061,93.97486,95.15108,93.96397,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,0.3789200000000079,-1.18710999999999
298,4.0,data4,Physical health conditions,E06000022,Bath and North East Somerset,102.3078,103.8705,103.0502,103.3767,104.9272,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,2.619399999999999,1.5504999999999995
312,4.0,data4,Physical health conditions,E06000023,Bristol,88.35544,89.89343,90.46151,89.04257,89.34155,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,0.9861099999999965,0.29898000000000025
326,4.0,data4,Physical health conditions,E06000024,North Somerset,98.27078,99.45132,98.71132,98.66121,99.50464,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,1.2338599999999929,0.8434299999999979
