,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM,change4,change1
6,6.0,data6,Physiological risk factors,E06000001,Hartlepool,93.88021,90.99305,91.9009,83.05693,84.68559,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-9.19462,1.6286600000000107
20,6.0,data6,Physiological risk factors,E06000002,Middlesbrough,89.59623,82.68649,92.47377,89.27346,90.26525,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,0.6690199999999891,0.9917899999999946
34,6.0,data6,Physiological risk factors,E06000003,Redcar and Cleveland,92.76338,92.76912,92.48279,89.02933,91.91298,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.8503999999999934,2.883650000000003
48,6.0,data6,Physiological risk factors,E06000004,Stockton-on-Tees,95.29251,95.88335,90.28472,90.84328,97.01034,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,1.7178300000000064,6.167060000000006
62,6.0,data6,Physiological risk factors,E06000005,Darlington,97.88153,93.76889,97.8418,97.53168,95.92655,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-1.954979999999992,-1.6051299999999884
76,6.0,data6,Physiological risk factors,E06000006,Halton,96.54696,92.39402,92.69405,91.20445,91.17348,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.373480000000001,-0.03096999999999639
90,6.0,data6,Physiological risk factors,E06000007,Warrington,103.9864,99.88608,104.0219,97.02266,98.73877,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-5.247630000000001,1.7161100000000005
104,6.0,data6,Physiological risk factors,E06000008,Blackburn with Darwen,98.74249,92.30291,90.16343,93.95224,90.57068,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-8.171810000000008,-3.3815600000000074
118,6.0,data6,Physiological risk factors,E06000009,Blackpool,90.68471,87.23245,88.94998,91.14791,87.58085,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.1038599999999974,-3.567059999999998
132,6.0,data6,Physiological risk factors,E06000010,Kingston upon Hull,91.74059,89.81238,89.76286,86.01514,89.72326,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-2.017330000000001,3.708119999999994
146,6.0,data6,Physiological risk factors,E06000011,East Riding of Yorkshire,99.89108,97.46387,102.0963,110.7335,103.7981,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,3.907020000000003,-6.935400000000001
160,6.0,data6,Physiological risk factors,E06000012,North East Lincolnshire,96.97158,91.51562,94.44832,94.44086,96.03171,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-0.9398699999999991,1.5908500000000032
174,6.0,data6,Physiological risk factors,E06000013,North Lincolnshire,99.98951,96.29869,94.58668,92.55627,96.97734,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-3.0121699999999976,4.42107
188,6.0,data6,Physiological risk factors,E06000014,York,109.4417,104.5932,105.5687,100.069,103.2382,,,,,,,,,,,,,,,,,,,,,,E12000003,Yorkshire and The Humber,-6.203499999999991,3.1692000000000036
202,6.0,data6,Physiological risk factors,E06000015,Derby,96.5725,95.55005,93.03279,93.90454,92.71952,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-3.8529800000000023,-1.1850199999999944
216,6.0,data6,Physiological risk factors,E06000016,Leicester,92.32138,89.91796,92.11529,93.05817,90.96079,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-1.360590000000002,-2.097380000000001
230,6.0,data6,Physiological risk factors,E06000017,Rutland,115.5153,106.0291,110.0526,114.9396,101.1119,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,-14.40339999999999,-13.827699999999993
244,6.0,data6,Physiological risk factors,E06000018,Nottingham,90.97459,90.34198,90.81617,86.09792,92.44395,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands,1.4693599999999947,6.346029999999999
258,6.0,data6,Physiological risk factors,E06000019,Herefordshire,100.4097,102.5969,100.6733,98.425,99.95965,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-0.4500500000000045,1.5346499999999992
272,6.0,data6,Physiological risk factors,E06000020,Telford and Wrekin,96.00097,91.6473,94.88391,95.34126,91.76619,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-4.234780000000001,-3.575070000000011
286,6.0,data6,Physiological risk factors,E06000021,Stoke-on-Trent,87.18516,87.32378,89.11975,91.14072,85.70731,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-1.4778499999999894,-5.433409999999995
300,6.0,data6,Physiological risk factors,E06000022,Bath and North East Somerset,105.4486,105.7992,105.742,110.6247,110.5391,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,5.090500000000006,-0.08559999999999945
314,6.0,data6,Physiological risk factors,E06000023,Bristol,95.04119,97.27611,98.83893,100.4204,100.295,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,5.253810000000001,-0.12539999999999907
328,6.0,data6,Physiological risk factors,E06000024,North Somerset,99.23687,102.836,103.6696,105.1201,106.1839,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,6.947029999999998,1.0638000000000005
342,6.0,data6,Physiological risk factors,E06000025,South Gloucestershire,106.8883,107.5606,107.8858,105.6731,106.5893,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.2990000000000066,0.9161999999999892
356,6.0,data6,Physiological risk factors,E06000026,Plymouth,98.16841,95.81786,94.39081,95.28044,93.39873,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-4.769679999999994,-1.8817099999999982
370,6.0,data6,Physiological risk factors,E06000027,Torbay,98.58953,101.7411,99.16516,98.24086,97.2107,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-1.3788299999999936,-1.030159999999995
384,6.0,data6,Physiological risk factors,E06000030,Swindon,95.69567,97.80303,96.5509,98.09281,99.60838,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,3.91270999999999,1.5155699999999968
398,6.0,data6,Physiological risk factors,E06000031,Peterborough,101.3252,96.69787,96.72893,97.3224,93.12735,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-8.197849999999988,-4.195049999999995
412,6.0,data6,Physiological risk factors,E06000032,Luton,93.31154,89.98717,89.00299,91.96798,88.15435,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-5.15719,-3.8136300000000034
426,6.0,data6,Physiological risk factors,E06000033,Southend-on-Sea,104.7508,102.5931,102.9123,100.0442,100.8618,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-3.888999999999996,0.8175999999999988
440,6.0,data6,Physiological risk factors,E06000034,Thurrock,96.78407,95.92864,97.06007,95.19512,93.1425,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England,-3.6415700000000015,-2.0526200000000046
454,6.0,data6,Physiological risk factors,E06000035,Medway,98.26742,98.18461,95.81719,95.99645,91.51193,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-6.755489999999995,-4.484519999999989
468,6.0,data6,Physiological risk factors,E06000036,Bracknell Forest,109.1444,111.6739,106.8321,105.2074,108.7624,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.382000000000005,3.5549999999999926
482,6.0,data6,Physiological risk factors,E06000037,West Berkshire,107.5915,111.6134,107.3262,111.1111,110.6335,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.0420000000000016,-0.47759999999999536
496,6.0,data6,Physiological risk factors,E06000038,Reading,100.4025,99.13087,99.56418,101.1037,100.1829,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-0.2195999999999998,-0.9207999999999998
510,6.0,data6,Physiological risk factors,E06000039,Slough,97.43436,93.02962,93.64496,90.9263,90.43313,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-7.0012299999999925,-0.4931699999999921
524,6.0,data6,Physiological risk factors,E06000040,Windsor and Maidenhead,111.5289,112.015,108.7012,107.4055,112.4904,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.9615000000000009,5.08489999999999
538,6.0,data6,Physiological risk factors,E06000041,Wokingham,115.7098,114.118,112.3392,116.471,112.45,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-3.2597999999999985,-4.021000000000001
552,6.0,data6,Physiological risk factors,E06000042,Milton Keynes,97.69463,97.84001,95.69391,94.97531,96.13608,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-1.5585499999999968,1.1607700000000136
566,6.0,data6,Physiological risk factors,E06000043,Brighton and Hove,111.2486,110.5337,113.1448,115.2876,112.2126,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,0.9639999999999986,-3.075000000000003
580,6.0,data6,Physiological risk factors,E06000044,Portsmouth,98.07334,97.52316,95.27848,95.59198,93.96744,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-4.105900000000005,-1.6245400000000103
594,6.0,data6,Physiological risk factors,E06000045,Southampton,99.27041,97.01278,97.08718,95.47983,97.32325,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,-1.9471599999999967,1.8434199999999947
608,6.0,data6,Physiological risk factors,E06000046,Isle of Wight,96.70595,100.0488,100.2219,99.71038,99.81888,,,,,,,,,,,,,,,,,,,,,,E12000008,South East,3.1129299999999915,0.10849999999999227
622,6.0,data6,Physiological risk factors,E06000047,County Durham,91.47993,89.79396,89.31544,90.7308,90.61518,,,,,,,,,,,,,,,,,,,,,,E12000001,North East,-0.8647500000000008,-0.11562000000000694
636,6.0,data6,Physiological risk factors,E06000049,Cheshire East,106.0521,104.7904,104.2783,100.8312,99.8691,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-6.182999999999993,-0.9620999999999924
650,6.0,data6,Physiological risk factors,E06000050,Cheshire West and Chester,100.04,101.4516,101.6718,101.988,96.87162,,,,,,,,,,,,,,,,,,,,,,E12000002,North West,-3.1683800000000133,-5.116380000000007
664,6.0,data6,Physiological risk factors,E06000051,Shropshire,103.0964,103.6208,97.65145,97.81955,98.58144,,,,,,,,,,,,,,,,,,,,,,E12000005,West Midlands,-4.514960000000002,0.761889999999994
678,6.0,data6,Physiological risk factors,E06000052,Cornwall,98.11559,95.32453,94.65052,98.30851,97.39783,,,,,,,,,,,,,,,,,,,,,,E12000009,South West,-0.7177599999999984,-0.9106799999999993
